fragment_id,behavior_id
0,1
1,18
2,1
3,11
4,3
5,15
6,14
7,8
8,12
9,8
10,3
11,15
12,3
13,4
14,6
15,5
16,8
17,7
18,2
19,4
20,13
21,17
22,15
23,16
24,4
25,13
26,0
27,14
28,12
29,15
30,3
31,12
32,11
33,17
34,14
35,2
36,7
37,10
38,18
39,14
40,13
41,2
42,16
43,17
44,3
45,12
46,2
47,12
48,7
49,19
50,14
51,12
52,5
53,17
54,3
55,5
56,17
57,14
58,5
59,12
60,4
61,13
62,18
63,1
64,8
65,11
66,1
67,14
68,4
69,18
70,8
71,7
72,5
73,3
74,18
75,7
76,18
77,0
78,17
79,8
80,14
81,6
82,1
83,1
84,16
85,16
86,5
87,9
88,19
89,9
90,17
91,13
92,17
93,13
94,1
95,6
96,3
97,13
98,5
99,18
100,8
101,11
102,15
103,6
104,10
105,4
106,17
107,19
108,14
109,11
110,1
111,7
112,14
113,6
114,12
115,5
116,6
117,3
118,10
119,4
120,10
121,12
122,19
123,16
124,8
125,18
126,5
127,8
128,6
129,6
130,19
131,9
132,14
133,7
134,5
135,1
136,18
137,11
138,7
139,0
140,19
141,8
142,10
143,3
144,11
145,19
146,5
147,11
148,2
149,12
150,19
151,19
152,6
153,2
154,3
155,0
156,5
157,10
158,14
159,19
160,19
161,7
162,18
163,16
164,1
165,18
166,7
167,6
168,9
169,5
170,2
171,14
172,14
173,18
174,7
175,8
176,10
177,8
178,17
179,8
180,3
181,18
182,8
183,13
184,16
185,4
186,6
187,16
188,14
189,8
190,15
191,6
192,17
193,18
194,3
195,11
196,3
197,12
198,9
199,17
200,1
201,9
202,10
203,17
204,12
205,9
206,7
207,16
208,3
209,6
210,13
211,17
212,1
213,15
214,3
215,10
216,10
217,9
218,12
219,16
220,2
221,1
222,8
223,5
224,8
225,15
226,14
227,11
228,6
229,9
230,15
231,14
232,18
233,2
234,0
235,9
236,16
237,6
238,19
239,17
240,17
241,18
242,6
243,16
244,14
245,11
246,1
247,5
248,16
249,0
250,14
251,4
252,8
253,9
254,13
255,8
256,15
257,10
258,10
259,8
260,18
261,8
262,9
263,3
264,4
265,7
266,6
267,7
268,2
269,12
270,17
271,9
272,4
273,4
274,9
275,4
276,7
277,7
278,5
279,18
280,8
281,19
282,17
283,10
284,13
285,11
286,16
287,18
288,1
289,2
290,9
291,11
292,7
293,5
294,8
295,3
296,16
297,6
298,17
299,16
300,4
301,0
302,0
303,5
304,3
305,11
306,6
307,7
308,10
309,3
310,5
311,10
312,19
313,7
314,2
315,10
316,1
317,5
318,16
319,5
320,10
321,4
322,10
323,18
324,1
325,17
326,12
327,19
328,18
329,10
330,14
331,12
332,18
333,8
334,2
335,18
336,16
337,17
338,14
339,8
340,15
341,13
342,19
343,12
344,18
345,6
346,8
347,2
348,14
349,8
350,13
351,14
352,14
353,10
354,7
355,17
356,8
357,15
358,5
359,9
360,15
361,1
362,12
363,18
364,12
365,17
366,5
367,5
368,11
369,16
370,17
371,2
372,10
373,18
374,12
375,6
376,10
377,11
378,16
379,10
380,3
381,13
382,19
383,12
384,3
385,3
386,2
387,0
388,13
389,12
390,12
391,15
392,12
393,1
394,16
395,16
396,12
397,11
398,7
399,2
400,13
401,7
402,4
403,18
404,4
405,19
406,4
407,19
408,1
409,10
410,16
411,4
412,4
413,11
414,13
415,4
416,8
417,19
418,0
419,5
420,19
421,5
422,3
423,4
424,19
425,10
426,11
427,15
428,2
429,10
430,7
431,6
432,1
433,19
434,11
435,5
436,8
437,7
438,13
439,3
440,15
441,8
442,3
443,17
444,13
445,1
446,2
447,14
448,6
449,1
450,12
451,5
452,0
453,4
454,12
455,12
456,4
457,12
458,6
459,16
460,8
461,4
462,7
463,1
464,6
465,17
466,1
467,14
468,13
469,19
470,10
471,7
472,11
473,10
474,1
475,12
476,3
477,7
478,9
479,3
480,2
481,16
482,15
483,10
484,8
485,15
486,15
487,4
488,18
489,4
490,8
491,8
492,8
493,2
494,2
495,16
496,17
497,2
498,7
499,17
500,6
501,17
502,2
503,5
504,6
505,7
506,11
507,5
508,17
509,17
510,2
511,7
512,0
513,10
514,1
515,19
516,3
517,8
518,18
519,15
520,10
521,13
522,2
523,14
524,17
525,10
526,14
527,15
528,3
529,11
530,10
531,3
532,15
533,8
534,19
535,12
536,4
537,0
538,5
539,14
540,8
541,17
542,4
543,9
544,10
545,3
546,5
547,7
548,19
549,0
550,2
551,18
552,2
553,6
554,3
555,6
556,16
557,4
558,19
559,12
560,12
561,2
562,8
563,12
564,6
565,19
566,7
567,14
568,15
569,13
570,17
571,15
572,10
573,11
574,8
575,14
576,14
577,8
578,18
579,14
580,18
581,7
582,18
583,11
584,13
585,11
586,16
587,19
588,17
589,18
590,2
591,10
592,15
593,12
594,10
595,15
596,3
597,7
598,14
599,12
600,13
601,7
602,9
603,8
604,6
605,9
606,13
607,4
608,7
609,14
610,16
611,9
612,3
613,18
614,11
615,1
616,11
617,15
618,11
619,10
620,7
621,2
622,7
623,1
624,6
625,17
626,9
627,3
628,13
629,13
630,10
631,18
632,8
633,18
634,6
635,13
636,14
637,9
638,13
639,15
640,16
641,5
642,12
643,1
644,17
645,11
646,11
647,11
648,18
649,8
650,7
651,5
652,19
653,5
654,16
655,9
656,16
657,16
658,7
659,19
660,10
661,14
662,6
663,19
664,5
665,18
666,0
667,4
668,11
669,13
670,15
671,0
672,18
673,12
674,18
675,15
676,14
677,8
678,16
679,4
680,1
681,0
682,12
683,18
684,19
685,12
686,17
687,19
688,10
689,15
690,19
691,14
692,4
693,18
694,9
695,8
696,10
697,7
698,14
699,2
700,12
701,16
702,7
703,1
704,13
705,16
706,8
707,17
708,16
709,10
710,18
711,5
712,8
713,15
714,17
715,6
716,2
717,7
718,6
719,2
720,2
721,7
722,5
723,6
724,17
725,4
726,15
727,0
728,3
729,1
730,18
731,0
732,12
733,0
734,3
735,18
736,10
737,0
738,16
739,1
740,13
741,8
742,14
743,13
744,18
745,19
746,1
747,11
748,9
749,9
750,10
751,2
752,14
753,18
754,17
755,1
756,2
757,1
758,11
759,6
760,0
761,2
762,17
763,15
764,12
765,7
766,18
767,18
768,13
769,2
770,4
771,17
772,18
773,12
774,17
775,8
776,16
777,10
778,13
779,2
780,19
